Year,Race,Yes %,No %,Votes,Winner,Visit,Type,Day/Night,Time of race
2020,Bristol 1,94.9,5.1,"20,529",Keselowski,First,Short,Day,3:19
2018,Bristol 2,94.8,5.2,"10,276",KuBusch,Second,Short,Night,2:59
2020,Talladega 1,94.3,5.7,"23,414",Blaney,First,Super,Day,3:27
2018,Watkins Glen,94.3,5.7,"8,325",Elliott,Only,Road,Day,2:14
2019,Bristol 2,94.1,5.9,"13,701",Hamlin,Second,Short,Night,2:49
2020,Darlington 2,93.8,6.2,"14,982",Hamlin,Second,Intermediate,Night,2:42
2017,Martinsville 2,92.8,7.2,"7,207",KyBusch,Second,Short,Day,3:33
2018,Char. Roval,92.8,7.2,"12,092",Blaney,Only,Road,Day,3:02
2016,Dover 1,92.6,7.4,"2,404",Kenseth,First,1-mile,Day,3:39
2018,Chicago,92.1,7.9,"10,432",KyBusch,Only,Intermediate,Day,2:51
2016,Sonoma,91.6,8.4,"2,534",Stewart,Only,Road,Day,2:42
2019,All-Star,90.8,9.2,"10,255",Larson,First,Intermediate,Night,1:36
2016,Fontana,90.3,9.7,"2,154",Johnson,Only,2-mile,Day,2:59
2019,Talladega 1,90.2,9.8,"16,995",Elliott,First,Super,Day,3:06
2020,Daytona 2,90,10,"18,523",Byron,Second,Super,Night,2:40
2017,Martinsville 1,89.6,10.4,"4,502",Keselowski,First,Short,Day,3:45
2018,Martinsville 2,89.6,10.4,"9,975",Logano,Second,Short,Day,3:30
2019,Kansas 1,89.6,10.4,"12,264",Keselowski,First,Intermediate,Night,3:06
2020,Phoenix 1,89.4,10.6,"18,653",Logano,First,1-mile,Day,3:21
2019,Chicago,89,11,"12,379",Bowman,Only,Intermediate,Day,2:51
2020,Martinsville 2,88.8,11.2,"20,143",Elliott,Second,Short,Day,3:40
2019,Talladega 2,88,12,"13,772",Blaney,Second,Super,Day,3:40
2017,Talladega 1,88,12,"4,666",Stenhouse,First,Super,Day,3:29
2017,Phoenix 2,88,12,"5,176",Kenseth,Second,1-mile,Day,2:57
2018,Bristol 1,87.9,12.1,"5,914",KyBusch,First,Short,Day,3:26
2020,Darlington 1,87.6,12.4,"16,510",Harvick,First,Intermediate,Day,3:27
2019,Char. Roval,87,13,"13,910",Elliott,Only,Road,Day,3:21
2016,Watkins Glen,87,13,"2,738",Hamlin,Only,Road,Day,2:28
2017,Bristol 1,86.4,13.6,"3,234",Johnson,First,Short,Day,3:04
2016,Homestead,86.3,13.7,"2,377",Johnson,Only,Intermediate,Day,3:07
2019,Bristol 1,86.2,13.8,"13,237",KyBusch,First,Short,Day,2:57
2019,Coke 600,86,14,"12,930",Truex,Second,Intermediate,Night,4:50
2016,Richmond 1,85,15,"3,249",Edwards,First,Short,Day,3:05
2018,Las Vegas 2,84.5,16,"6,541",Keselowski,Second,Intermediate,Day,3:28
2018,Daytona 1,84,16,"4,839",A. Dillon,First,Super,Day,3:26
2016,Phoenix 2,84,16,"2,473",Logano,Second,1-mile,Day,3:09
2019,Watkins Glen,84,16,"12,193",Elliott,Only,Road,Day,2:14
2018,All-Star,84,16,"7,975",Harvick,First,Intermediate,Night,1:39
2020,Char. Roval,83.6,16.4,"13,498",Elliott,Only,Road,Day,3:17
2020,Las Vegas 1,83.5,16.5,"17,087",Logano,First,Intermediate,Day,2:58
2019,Darlington,83,17,"12,819",Jones,Only,Other,Night,3:45
2017,Kansas 1,83,17,"4,148",Truex,First,Intermediate,Night,3:24
2018,Phoenix 2,83,17,"6,292",KyBusch,Second,1-mile,Day,3:10
2018,New Hamp.,83,17,"6,792",Harvick,Only,1-mile,Day,2:53
2017,Homestead,82.1,17.9,"5,116",Truex,Only,Intermediate,Day,3:02
2016,Phoenix 1,81,19,"2,008",Harvick,First,1-mile,Day,2:46
2019,Kentucky,80.6,19.4,"13,923",KuBusch,Only,Intermediate,Night,2:52
2017,Talladega 2,80,20,"5,474",Keselowski,Second,Super,Day,3:48
2019,Daytona 1,80,20,"25,398",Hamlin,First,Super,Day,3:46
2017,Daytona 2,79,21,"4,819",Stenhouse,Second,Super,Night,3:17
2019,New Hamp.,79,21,"11,113",Harvick,Only,1-mile,Day,3:04
2017,Pocono 1,79,21,"5,193",Blaney,First,Other,Day,2:48
2016,Bristol 1,78.9,21.1,"2,074",Edwards,First,Short,Day,3:16
2020,Bristol 2,78.6,21.4,"13,313",Harvick,Third,Short,Night,2:47
2016,Darlington,78,22,"2,752",Truex,Only,Other,Night,3:58
2016,Richmond 2,78,22,"2,748",Hamlin,Second,Short,Night,3:31
2016,Atlanta,78,22,"2,843",Johnson,Only,Intermediate,Day,3:15
2017,Sonoma,78,22,"3,705",Harvick,Only,Road,Day,2:47
2020,Michigan 1,77.3,22.7,"10,212",Harvick,First,2-mile,Day,2:35
2017,Dover 1,77,23,"4,508",Johnson,First,1-mile,Day,3:52
2016,Talladega 1,77,23,"2,233",Keselowski,First,Super,Day,3:34
2020,Charlotte 2,76.2,23.8,"12,725",Elliott,Second,Intermediate,Night,2:29
2018,Daytona 2,76,24,"8,817",Jones,Second,Super,Night,3:13
2017,Richmond 1,76,24,"3,981",Logano,First,Short,Day,3:12
2016,Pocono 1,76,24,"1,994",KuBusch,First,Other,Day,3:11
2016,Bristol 2,75.4,24.6,"2,425",Harvick,Second,Short,Day,3:25
2020,Martinsville 1,75.1,24.9,"15,244",Truex,First,Short,Night,3:24
2017,Daytona 1,75,25,"4,314",KuBusch,First,Super,Day,3:30
2016,Martinsville 1,75,25,"1,772",KyBusch,First,Short,Day,3:17
2020,Talladega 2,74.8,25.2,"19,582",Hamlin,Second,Super,Day,4:06
2020,Fontana,74.7,25.3,"12,623",Bowman,Only,2-mile,Day,2:37
2018,Richmond 1,74,26,"6,051",KyBusch,First,Short,Night,3:08
2018,Phoenix 1,74,26,"5,513",Harvick,First,1-mile,Day,2:53
2016,Michigan 2,74,26,"2,234",Larson,Second,2-mile,Day,2:27
2020,New Hamp.,73.2,26.8,"14,389",Keselowski,Only,1-mile,Day,3:10
2017,Darlington,73,27,"5,359",Hamlin,Only,Other,Night,3:47
2018,Indianapolis,72.8,27.2,"6,895",Keselowski,Only,Other,Day,3:07
